1912,【步履维艰】这一时期，战事不断，茶发展举步维艰1915年万国博览会，安徽“太平猴魁”江西“婺绿”浙江“惠明茶”获金奖。茶文化风靡全球
1913,自清代六大茶类出现后，喝茶方式逐步简化。碗泡法直接冲泡茶叶 是现在主流的泡饮习惯
1914,派遣有志知识青年，出国留学深造，学习外国茶业先进技术。云南派朱文精去日本静冈学习种茶、制茶。
1915,国内开始效仿国外，建立茶叶试验（实验）场，设置茶叶科研机构。北洋政府农商部湖北羊楼洞茶业示范场改名茶业试验场，建有试验茶园和实验茶厂。
1919,浙江选派吴觉农和葛敬应赴日本学习茶技
1922,蒋芸生去日本学习园艺
1930,广州中山大学农学院成立茶蔗部设茶作、蔗作两专科，学制2年，后改设4年本科，为茶叶高等教育开了先河
1937,六堡产茶盛况。《广西特产志略》载：“在苍梧之最大出品，且为特产者，首推六堡茶，就其六堡一区而言（五堡，四堡）俱有出茶，但不及六堡之多，每年出口者，产额在60万斤以上，在1926～1927年，每担估价三十元左右。”
1940,农业部中央农业实验所湄潭实验茶场正式成立
1941,财政部贸易委员会在浙江衢县成立了东南茶叶改良总场
1945,1954年，召开全国茶叶专业会议，确定“大力发展茶叶生产”方针
1949,【百废待兴】1949年12月，中国茶叶公司成立，属贸易部、农业部双重领导；
1950,双重打击。国内时局的动荡，市场的不景气，武夷红茶陷入困境，茶农不得不转种毛竹等来营生。
1950,"【百废待兴,茶业重振】在林馥生、张天福、吴觉农及当地茶农等茶业人的默默耕耘与奉献下，武夷红茶逐步重振。"
1958,中国农业科学院茶叶研究所在浙江杭州成立，标志着中国茶叶研究进入到了有计划、有组织发展阶段
1962,1962年，山东开展“南茶北引”试验
1963,于云南勐海县发现特大野生大茶树，树龄1700年
1978,是中国茶叶生产的恢复发展时期的开始，大量旧茶园得以恢复种植生产，同时建立新茶园，改进新品种，推行科学种茶，致使茶叶经济稳定发展。
1982,第一个以弘扬茶文化为宗旨的杭州“茶人之家”成立
2000,当然也有添加其他调料进行饮用的多元化，有加糖、加冰、加奶、加酥油、加珍珠、加奶盖等。
2001,伴随着在卡塔尔多哈举行的世界贸易组织「第四届」部长级会议通过了中国加入世贸组织的法律文件生效，中国茶叶经济也走入了一个崭新的发展阶段。
2005,【金骏眉问世】茶人江元勋等人综合北京等地茶友的意见，邀请制茶师梁骏德，在正山小种传统工艺上进行改良，取单芽制作的高档红茶，取名金骏眉
2006,浙江农林大学在全国建立了第一个茶文化学院，同年开始招生，进行本科学历的茶文化教育
2007,爆火后的纷争。“金骏眉”的爆火，引来了这究竟是某企业的商标还是茶名的纷争，最终在2013年判决为茶叶通用名称。
2008,伴随着中国政府扩大内需促进经济增长的「四万亿投资」政策落地实施，中国茶叶经济凭借这股强劲的东风在国际市场的舞台上又一次迎来了其历史高光时刻，并在新一代「年轻茶人」的不断创新下，以中国茶文化为核心的「概念商品」在一定程度上影响了世界潮流文化的走向。
2015,渐成体系，稳健发展。国家标准：《红茶第3部分：小种红茶》GB/T13738.3-2012发布；地方标准：《地理标志产品武夷红茶》DB35/T1228-2015发布；行业标准：《金骏眉》GH/T 1118-2015发布；团体标准：《骏眉红茶》T/CMA 002-2018发布
2017,【风靡世界】截止2017年底，中国茶区面积4588万亩，产量260.9万吨，出口35.5万吨，实现了茶业前所未有的巅峰。至此，中国茶风靡世界
2019,第74届联合国大会宣布每年5月21日为“国际茶日”，以赞美茶叶对经济、社会和文化的价值，这是以中国为主的产茶国家首次成功推动设立的农业领域国际性节日。
